scenario,depth_ft,slope,soil_shear_lbft2,sed_transport_lbs_410ft,sed_transport_rate_kgsm,velocity_ms,spot,breadth_m,channel_avg_depth_m
pond15_pre,2.63,0.011,1.79,242.25,2.88,1.2,17,2.52,1.1
pond15_pre,1.3,0.0151,1.22,112.29,1.33,1.6,18,3.35,1.22
pond15_pre,1.5,0.0132,1.24,115.94,1.38,1.3,19,2.96,1.73
pond15_pre,2.2,0.0108,1.48,165.39,1.97,1.4,20,2.81,2.01
pond15_post,2.31,0.009,1.3,116.39,1.39,1.5,1,1.78,2.15
pond15_post,3.46,0.0067,1.45,144.93,1.72,1.01,2,1.95,2.1
pond15_post,3.51,0.012,2.62,474.77,5.64,1.63,3,1.92,1.84
pond15_post,3.22,0.0095,1.91,251.51,2.99,0.98,4,2.01,1.92
pond15_post,2.2,0.009,1.24,105.85,1.26,1.2,5,2.2,2.83
pond15_post,1.25,0.007,0.55,20.59,0.24,1.4,6,2.3,2.52
pond15_post,3.0,0.011,2.06,320.97,3.87,1.2,7,1.94,2.77
pond15_post,1.01,0.0076,0.47,15.28,0.18,1.0,8,2.7,2.22
pond15_post,2.95,0.0056,1.03,72.91,0.87,0.98,9,2.3,2.37
pond15_post,1.42,0.021,1.86,238.88,2.84,2.1,10,2.2,2.31
pond15_post,2.5,0.013,2.03,284.12,3.38,1.4,11,1.9,1.95
pond15_post,2.4,0.014,2.1,303.83,3.61,1.3,12,3.0,1.66
pond15_post,2.2,0.0096,1.32,120.02,1.43,0.98,13,2.2,1.53
pond15_post,3.2,0.0096,1.92,254.58,3.03,1.2,14,1.98,1.96
pond15_post,2.1,0.0105,1.38,131.23,1.56,1.1,15,2.01,1.84
pond15_post,1.0,0.0112,0.69,32.97,0.39,1.2,16,2.23,1.72
pond15_post,2.3,0.011,1.58,172.19,2.04,0.7,17,2.52,1.1
pond15_post,1.2,0.0151,1.13,87.83,1.04,1.0,18,3.35,1.22
pond15_post,1.3,0.0132,1.07,78.71,0.93,1.2,19,2.96,1.73
pond15_post,2.1,0.0108,1.4,95.28,1.33,1.01,20,2.81,2.01
