fold,repeat,r2,rmse,mae
0,0,0.9448813916443625,0.3134414512778458,0.23617861088395875
1,0,0.6098683144750128,1.07356588223894,0.5331936292922069
2,0,-1.0519845352178665,1.0478357953301627,0.34788943682357365
3,0,0.8592588939879194,0.3225183594538029,0.220043429033622
4,0,0.65577251176215,0.803142037935943,0.29092344096644795
5,1,0.8940202502259667,0.4325780635527194,0.22586976294630112
6,1,0.5491375960739879,0.9461750128698275,0.4951506085965104
7,1,0.7600255701671819,0.7576562535777717,0.2388102045530715
8,1,-0.08674344246780641,1.0256462667088282,0.2783565770672669
9,1,0.8114656509667485,0.4204164154898579,0.238566169420525
10,2,0.9067656572333547,0.36144988769800884,0.1772315095768628
11,2,0.48610434248753354,1.0251750777033786,0.3324227928426426
12,2,0.7285775900160841,0.5055073539148736,0.317729641952926
13,2,0.909493958906135,0.35593254260180524,0.22928414036399875
14,2,0.8354562718452392,0.6503508267108772,0.28494854321873697
15,3,0.8498039554318071,0.406236774564323,0.21014751837428575
16,3,0.842305912939943,0.4412794443005326,0.2360242664651473
17,3,0.5268771488703097,1.18984343504798,0.6705868816892108
18,3,0.10605854429122463,1.0440073301990729,0.3244087408712771
19,3,0.9817198698251857,0.16566902597525715,0.1377857460254027
20,4,0.8594418298919416,0.3531818094266217,0.2605259157069823
21,4,0.5976357337589947,0.9220982610298304,0.3895152284824404
22,4,0.9528851525752483,0.2511310494670749,0.14900401208120817
23,4,0.6370028360611384,0.9839299082956998,0.4564849496451787
24,4,-0.015303996482739057,1.0428214742930428,0.33814417454943857
25,5,0.29156728621634265,1.0274323177506484,0.3057078707579747
26,5,0.6950795530565532,0.5553252855249847,0.3071162020217809
27,5,0.7313939764802786,0.8021755945474103,0.24915332091795844
28,5,0.8409656582057099,0.4267014809114134,0.3155844488678351
29,5,0.5622524704859113,1.0296773041756715,0.43546299954696044
30,6,0.7657576996805718,0.47234737553780287,0.2146582267847696
31,6,0.8315117955133542,0.5515122993646956,0.26589781593653583
32,6,0.9457575777044581,0.265374224992792,0.21413943742998534
33,6,0.301304183184129,1.0279754550099973,0.4003661805425729
34,6,0.6849842611707468,0.9398263118239587,0.4674068151147515
35,7,0.8025079696302347,0.42420397311205066,0.22933004116918276
36,7,0.7508095544830009,0.7903774077972704,0.3934933490216258
37,7,0.7316232777846934,0.4904984485402697,0.3041687456022622
38,7,0.656884643084647,0.8501927669150416,0.3254510286673001
39,7,-0.1035296085826054,1.0464974216690108,0.30709218032515706
40,8,0.4510562834270688,1.0313907317218753,0.519815559676917
41,8,0.9322374402035378,0.2543030926166474,0.1827808460340053
42,8,-0.0961489612063875,1.0272430823803835,0.3484603892674178
43,8,0.7956339090771014,0.6922653612604166,0.27835655466043585
44,8,0.8531479919572926,0.5334651758025024,0.36012063119472987
45,9,0.6536098111684624,0.5629946329491455,0.2978270284101776
46,9,0.42872378736372385,1.0454753157700307,0.31890502220856476
47,9,0.7993127597987664,0.4496795504652838,0.28411919542006564
48,9,0.642008854059583,0.9307613742071095,0.3854151873516683
49,9,0.7499254833062626,0.7279941078013864,0.30087117470472435
