fold,repeat,r2,rmse,mae
0,0,0.910594482483049,0.39919902164962434,0.2872484625449014
1,0,0.8754078228931957,0.6066922909717022,0.3292151996153422
2,0,-0.46447991097795294,0.8852132339254642,0.42755044523562064
3,0,0.8722389731825453,0.307286272283816,0.2607075672069369
4,0,0.9226212400641232,0.38078555665570035,0.23030541342784586
5,1,0.9050811245290215,0.4093825619009511,0.3038492982376759
6,1,0.9015642592915053,0.4421054518113243,0.3194536242186839
7,1,0.8732225948477705,0.5506943962163715,0.30006124229224973
8,1,0.17153030082001186,0.8955140497451961,0.4452013036156336
9,1,0.8640481836607853,0.3570071624925444,0.228528212757774
10,2,0.948713234071576,0.2680789996599752,0.22503042215944732
11,2,0.6179587058079876,0.8839256156669545,0.4273473989104387
12,2,0.830834302956365,0.39908074845807,0.2979566572293814
13,2,0.9059136212925533,0.3629044464688249,0.26937556100505133
14,2,0.8798597237470579,0.5557140066278574,0.2988135127500529
15,3,0.9270594894614343,0.2830964262237392,0.2229012515668039
16,3,0.9482823025580581,0.2527118363239379,0.21377794106767173
17,3,0.8354447662387627,0.7017116816789394,0.3919646110527323
18,3,0.3686078980660591,0.8774019223346055,0.4240084908015837
19,3,0.9663330281354583,0.22482971237082433,0.15514427802569533
20,4,0.8476355337035829,0.3677156613904672,0.3110020452805271
21,4,0.9172878242422713,0.4180730987571945,0.27354438919419166
22,4,0.9443691123121819,0.2728849045249824,0.20933097144524487
23,4,0.8884006077963464,0.5455611807115628,0.31725177455714954
24,4,0.2901792365663546,0.8719393298545118,0.3718803520048355
25,5,0.5063396467422459,0.8576657024856448,0.35729875790716525
26,5,0.8937428323229211,0.32781837447723494,0.26204484310546183
27,5,0.8761302193495819,0.5447462576080246,0.3254403264577207
28,5,0.8494363571897439,0.41518222224198065,0.27907476770945694
29,5,0.9212404996277033,0.4367578954058378,0.281253396435881
30,6,0.9529903695077302,0.21160321568870152,0.16810261037734972
31,6,0.9308619601465106,0.35328807824719993,0.2876792065832655
32,6,0.9029024969450891,0.35505303715250963,0.2558336553271189
33,6,0.4690158733602151,0.89614738693042,0.4535389614041899
34,6,0.8654004300376591,0.6143322426555723,0.3437736391965378
35,7,0.9516511860877204,0.20989053604501987,0.18064299649504445
36,7,0.8286093441019211,0.6554844523510359,0.40185684779231934
37,7,0.9466858209991832,0.21861833315825377,0.17078331775924332
38,7,0.9128604167575957,0.4284548535995675,0.2965171238907153
39,7,0.2312144368264003,0.8734715764748221,0.40633755935518134
40,8,0.9087120797679819,0.42059680731391635,0.2570829046413226
41,8,0.9436148600140539,0.23197387192553065,0.19963986436943165
42,8,0.2238730496195266,0.8643802179388896,0.35095569714229435
43,8,0.8665939001728687,0.5593144329276054,0.36055847933681645
44,8,0.9224797250605268,0.3875910872121609,0.28856075021618793
45,9,0.8515754378221844,0.36853127672229047,0.3060770137921234
46,9,0.41086886661849464,1.0616874899414221,0.5282189578661264
47,9,0.9474313566714958,0.23014770170446663,0.18684600707917934
48,9,0.9064778333121727,0.47572884980036073,0.30649122464463796
49,9,0.8859557995926189,0.49162023208707584,0.2368659409645871
