fold,repeat,r2,rmse,mae,epochs
0,0,0.9543209474326035,0.28534209882072137,0.19321896671097433,68
1,0,0.7650341974534642,0.8331542586286376,0.5005059123294331,120
2,0,-0.9132839073479524,1.0118028491821993,0.3720436883592513,52
3,0,0.8796271647807927,0.2982690611122789,0.2575059080725252,88
4,0,0.6454527956256421,0.8150919743666801,0.5447111505344984,42
5,1,0.9670770813439498,0.24110277655507611,0.19721364893752596,142
6,1,0.8762550249820975,0.49569352935405453,0.3259674128892474,110
7,1,0.716186662449495,0.8239599989539736,0.3082849768081623,60
8,1,-0.12226712577980225,1.0422747341660143,0.40072051818478255,148
9,1,0.9430413651948617,0.23108098384978465,0.18022581459788303,109
10,2,0.8931976312441964,0.38685710702351217,0.25182127579211827,90
11,2,0.46917516772537393,1.0419243350909118,0.5749065052689037,52
12,2,0.9186379997432763,0.27676771949362006,0.19535116265246008,48
13,2,0.9730489123292746,0.19423033586694716,0.15283782356601444,96
14,2,0.8025089143431554,0.712493290051296,0.3687930657235937,46
15,3,0.9340028712620201,0.26928521439722497,0.1735415444065666,145
16,3,0.8166934739317697,0.47576770234317955,0.301523275464604,134
17,3,0.6354913659264914,1.0443757196395829,0.5749410856614544,60
18,3,0.284720893122941,0.9338707627004288,0.35922260738268647,68
19,3,0.9098368886706241,0.36793078053432393,0.30419632658093904,46
20,4,0.753406048952972,0.46780137017263373,0.33158052909249,42
21,4,0.9344104013099199,0.372293100440114,0.2762307468284234,61
22,4,0.9349333171835233,0.2951215004328692,0.2101864196125071,110
23,4,0.4581785470672599,1.2021001302699965,0.6762861450760113,70
24,4,0.38054606277363734,0.8145475219351013,0.3360448163374815,60
25,5,0.4637700780308017,0.8938804532756777,0.49761957419302627,86
26,5,0.8958114238034041,0.32461174278458627,0.27037175281092185,63
27,5,0.8643628576149585,0.5700341661762888,0.33316593701296887,42
28,5,0.9259029620400784,0.2912588402666671,0.21599433423026643,51
29,5,0.7540848253238045,0.7717594440408998,0.3810733205036659,116
30,6,0.6729447220435587,0.5581352160266032,0.43150362603841225,41
31,6,0.9724235121579382,0.2231207328557291,0.192329625420115,88
32,6,0.9348458637074115,0.2908440590591985,0.22000696917226353,78
33,6,-0.011456150779878715,1.2368362446035834,0.5840879082391894,62
34,6,0.7687098977932261,0.8053042615219135,0.4319004140667733,181
35,7,0.8572384464280992,0.3606663104999722,0.30512453053557465,42
36,7,0.7646636475978594,0.7680921622043319,0.4004960528275815,110
37,7,0.8704753720467547,0.3407543373903527,0.2062719341054656,87
38,7,0.8831693892504744,0.49610733845832833,0.2530801136355435,120
39,7,0.20010551567248236,0.8909688462013157,0.3660090771222444,80
40,8,0.9545506446400995,0.2967721746735189,0.21806358225996333,93
41,8,0.8638794584069807,0.36042804331267475,0.2892588142653609,96
42,8,0.12638016789246365,0.9170640717802502,0.43877720653732677,46
43,8,0.7859875447887537,0.7084149328144066,0.45245416085013773,45
44,8,0.6378220696101945,0.83777446846638,0.5643598225553229,41
45,9,0.13094875160167052,0.8917521340831754,0.5220825215279586,72
46,9,0.4762851685076308,1.0010093856512143,0.5087485544352572,95
47,9,0.93032389210599,0.2649629798176401,0.22882098975021678,65
48,9,0.8596148263160025,0.5828580932093842,0.360539408965839,47
49,9,0.8477733107634222,0.5679871967733094,0.3470909174044542,106
